game_id,period,time,x,y,team_id,home,player_id,type,secondary_type,goal
2020020003,3,08:53,69.0,-14.0,8,False,8475726,Shot,Wrist Shot,False
2020020003,3,09:18,65.0,-33.0,8,False,8477476,Shot,Wrist Shot,False
2020020003,3,10:18,71.0,17.0,10,True,8476918,Shot,Snap Shot,False
2020020003,3,10:33,72.0,10.0,10,True,8476918,Goal,Wrist Shot,True
2020020003,3,10:52,49.0,24.0,10,True,8478483,Shot,Slap Shot,False
2020020003,3,11:05,61.0,0.0,10,True,8479318,Shot,Snap Shot,False
2020020003,3,11:21,73.0,12.0,8,False,8475848,Shot,Wrist Shot,False
2020020003,3,11:59,79.0,11.0,8,False,8475726,Shot,Wrist Shot,False
2020020003,3,12:37,83.0,36.0,8,False,8476981,Shot,Snap Shot,False
2020020003,3,14:43,76.0,15.0,10,True,8479318,Shot,Backhand,False
2020020003,3,15:11,55.0,12.0,8,False,8476479,Shot,Wrist Shot,False
2020020003,3,15:23,31.0,-21.0,8,False,8481014,Missed Shot,,False
2020020003,3,15:51,30.0,17.0,8,False,8473507,Shot,Snap Shot,False
2020020003,3,17:09,59.0,-12.0,10,True,8481624,Missed Shot,,False
2020020003,3,18:07,68.0,27.0,10,True,8479318,Missed Shot,,False
2020020003,3,18:17,66.0,15.0,10,True,8477939,Missed Shot,,False
2020020003,3,18:48,58.0,0.0,10,True,8481624,Shot,Wrist Shot,False
2020020003,3,19:49,75.0,11.0,10,True,8475786,Shot,Tip-In,False
2020020003,3,19:58,22.0,27.0,8,False,8476981,Shot,Wrist Shot,False
2020020003,4,00:43,78.0,10.0,10,True,8476853,Shot,Wrist Shot,False
2020020003,4,00:53,75.0,-2.0,8,False,8476479,Missed Shot,,False
2020020003,4,01:04,72.0,-2.0,10,True,8479318,Shot,Backhand,False
2020020003,4,01:12,64.0,-9.0,8,False,8480018,Shot,Wrist Shot,False
2020020003,4,01:51,72.0,-13.0,10,True,8477021,Missed Shot,,False
2020020003,4,02:04,51.0,-1.0,10,True,8481624,Shot,Slap Shot,False
2020020003,4,02:38,68.0,-6.0,10,True,8475166,Missed Shot,,False
2020020003,4,02:50,59.0,-12.0,8,False,8475726,Shot,Slap Shot,False
2020020003,4,03:24,74.0,-12.0,10,True,8476853,Goal,Wrist Shot,True
